osmid,amenity,access,fee,parking,capacity,zone_name,zone_type,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,connector_CHADEMO,connector_J1772,connector_J1772COMBO,connector_TESLA,cs_total,chargers_in_radius,distance_to_nearest_charger,geometry,zip,traffic,Population,Median Income,zoning_score,percentile_distance_to_nearest_charger,percentile_chargers_in_radius,percentile_cs_total,percentile_traffic,percentile_Population,percentile_Median Income,distance_score,radius_score,cs_total_score,traffic_score,population_score,income_score,demand_score
60194988,parking,yes,,surface,,UNZONED,Other,0.0,0.0,0.0,False,False,False,False,0.0,0,576.3769095342892,"POLYGON ((-117.1532671 32.7277595, -117.152847 32.7274733, -117.152196 32.7281495, -117.1526162 32.7284358, -117.1532671 32.7277595))",92101,6430,4587.0,54497.0,0.04000000000000001,0.5166163141993958,0.3685800604229607,0.2824773413897281,0.6419939577039275,0.4637462235649547,0.7416918429003021,0.2583081570996979,-0.1105740181268882,-0.05649546827794562,0.06419939577039276,0.09274924471299095,0.07416918429003021,0.7231327206784653
61768994,parking,yes,no,surface,,AR-1-2,Agricultural,12.0,0.0,10.0,False,True,False,True,22.0,0,299.6037934274338,"POLYGON ((-117.1393526 32.9118108, -117.1392628 32.9126215, -117.13938 32.9126339, -117.1412955 32.9125854, -117.1413898 32.9123849, -117.1393526 32.9118108))",92126,54112,6203.0,31433.5,0.0,0.3474320241691843,0.3685800604229607,0.8534743202416919,0.9712990936555891,0.7341389728096677,0.15709969788519637,0.17371601208459214,-0.1105740181268882,-0.1706948640483384,0.09712990936555892,0.14682779456193354,0.01570996978851964,0.5333642387717815
61864750,parking,yes,no,surface,,AR-1-1,Agricultural,0.0,0.0,0.0,False,False,False,False,0.0,0,2165.047328598836,"POLYGON ((-117.1412114 32.9741375, -117.1412382 32.973854, -117.1401492 32.9737505, -117.1400902 32.974043, -117.1412114 32.9741375))",92129,0,10138.0,54671.0,0.0,0.9154078549848943,0.3685800604229607,0.2824773413897281,0.20090634441087613,0.9516616314199395,0.7734138972809668,0.45770392749244715,-0.1105740181268882,-0.05649546827794562,0.020090634441087614,0.1903323262839879,0.07734138972809668,0.9181369474516649
62102094,parking,yes,no,surface,,RS-1-14,Residential Low,0.0,0.0,7.0,False,True,False,False,7.0,0,1123.5044462166898,"POLYGON ((-117.0931174 32.9909705, -117.0929376 32.9909391, -117.0926877 32.9908683, -117.0926267 32.9907474, -117.0932147 32.9903946, -117.093343 32.9904478, -117.0934824 32.9906108, -117.0934551 32.9907695, -117.0931174 32.9909705))",92128,18254,5054.0,53093.0,0.010000000000000002,0.716012084592145,0.3685800604229607,0.7356495468277946,0.8459214501510574,0.5498489425981873,0.7099697885196374,0.3580060422960725,-0.1105740181268882,-0.14712990936555892,0.08459214501510574,0.10996978851963746,0.07099697885196375,0.7353221891958224
67487421,parking,yes,no,surface,,,Multiple,0.0,0.0,0.0,False,False,False,False,0.0,0,4728.145175886468,"POLYGON ((-117.2445638 32.6681551, -117.244599 32.6680615, -117.2445785 32.6680388, -117.2445588 32.6680162, -117.2445279 32.6680295, -117.244489 32.6680485, -117.2444283 32.6680721, -117.2443798 32.6680802, -117.244325 32.6680855, -117.2442764 32.6680798, -117.2442261 32.668071, -117.2441695 32.6680511, -117.2441003 32.6680154, -117.2440654 32.6679838, -117.2440331 32.6679522, -117.243963 32.667797, -117.2439344 32.6677286, -117.2437577 32.6673152, -117.2437285 32.667245, -117.2437392 32.6673477, -117.2437412 32.6674222, -117.243738 32.6674963, -117.2437345 32.6675333, -117.2437287 32.6675704, -117.243719 32.6676, -117.2437112 32.6676307, -117.2436903 32.6676836, -117.2437224 32.6676721, -117.243745 32.6676818, -117.2437674 32.6677215, -117.2439254 32.6681254, -117.2439871 32.6681859, -117.2440733 32.6682333, -117.2441947 32.6682547, -117.2442828 32.6682702, -117.2444368 32.6682641, -117.2445374 32.6682309, -117.2445461 32.6682045, -117.2445638 32.6681551))",92106,0,767.0,25034.0,0.06999999999999999,1.0,0.3685800604229607,0.2824773413897281,0.20090634441087613,0.01812688821752266,0.06646525679758308,0.5,-0.1105740181268882,-0.05649546827794562,0.020090634441087614,0.003625377643504532,0.006646525679758309,0.7871615172752311
69546643,parking,yes,no,surface,,,Multiple,0.0,0.0,4.0,False,True,False,False,4.0,1,55.673253868230205,"POLYGON ((-117.2495719 32.7717908, -117.2492822 32.7717863, -117.2489711 32.7718044, -117.2485205 32.7717051, -117.2480806 32.7715653, -117.2477856 32.7714345, -117.2475281 32.7712766, -117.2474959 32.7711458, -117.2475334 32.7710511, -117.2477105 32.7708617, -117.2478821 32.7706903, -117.2480431 32.7706677, -117.2482201 32.770785, -117.2484347 32.7709113, -117.2487297 32.771006, -117.2490677 32.7710511, -117.2492125 32.7710691, -117.249352 32.7710601, -117.2494485 32.7710601, -117.2495558 32.7712225, -117.2495719 32.7717908))",92109,0,3978.0,42527.0,0.06999999999999999,0.030211480362537766,0.8066465256797583,0.6570996978851964,0.20090634441087613,0.3217522658610272,0.43051359516616317,0.015105740181268883,-0.24199395770392745,-0.1314199395770393,0.020090634441087614,0.06435045317220543,0.04305135951661632,0.25090671102506074
69546668,parking,yes,no,surface,,,Multiple,0.0,0.0,13.0,False,True,False,True,13.0,0,275.8663150019317,"POLYGON ((-117.2444167 32.769858, -117.2444811 32.7697498, -117.2448512 32.7699257, -117.245106 32.7701354, -117.2452348 32.7702843, -117.2454333 32.7704286, -117.2456988 32.7705775, -117.2459965 32.7707489, -117.2461387 32.7709474, -117.2462782 32.7711661, -117.2463559 32.7713263, -117.2463667 32.7713962, -117.2461575 32.7714435, -117.2460394 32.7713894, -117.2459617 32.7712902, -117.2458195 32.7712022, -117.2454708 32.7709271, -117.245157 32.7707331, -117.2450192 32.7706341, -117.2448421 32.7704581, -117.2445074 32.7701478, -117.2444891 32.7700746, -117.2444167 32.769858))",92109,0,3978.0,42527.0,0.06999999999999999,0.33534743202416917,0.3685800604229607,0.7960725075528701,0.20090634441087613,0.3217522658610272,0.43051359516616317,0.16767371601208458,-0.1105740181268882,-0.15921450151057404,0.020090634441087614,0.06435045317220543,0.04305135951661632,0.48215210929617414
69683320,parking,yes,no,surface,,RS-1-1,Residential Low,0.0,0.0,0.0,False,False,False,False,0.0,0,1424.9955440674908,"POLYGON ((-117.2405039 32.7524005, -117.2403283 32.7525127, -117.2401612 32.7526093, -117.2398813 32.7527543, -117.2394695 32.7529408, -117.239085 32.7531175, -117.2389906 32.7529645, -117.2393752 32.7527878, -117.2397489 32.7526215, -117.2401093 32.7524389, -117.240373 32.7522669, -117.2404111 32.7523069, -117.2405039 32.7524005))",92109,5212,4244.0,35830.0,0.010000000000000002,0.7945619335347432,0.3685800604229607,0.2824773413897281,0.5634441087613293,0.3957703927492447,0.2809667673716012,0.3972809667673716,-0.1105740181268882,-0.05649546827794562,0.056344410876132935,0.07915407854984895,0.028096676737160122,0.7605464808704427
69706936,parking,yes,,surface,,,Multiple,0.0,0.0,0.0,False,False,False,False,0.0,0,2320.8863198373947,"POLYGON ((-117.2524228 32.7475588, -117.2527711 32.7471688, -117.253032 32.7473336, -117.2532719 32.7470649, -117.2534462 32.7471751, -117.252858 32.7478337, -117.2527112 32.747741, -117.2524228 32.7475588))",92109,7748,4366.0,46517.5,0.06999999999999999,0.945619335347432,0.3685800604229607,0.2824773413897281,0.676737160120846,0.4108761329305136,0.5981873111782477,0.472809667673716,-0.1105740181268882,-0.05649546827794562,0.06767371601208459,0.08217522658610273,0.05981873111782478,0.9244634724987048
69707065,parking,yes,no,surface,,,Multiple,0.0,0.0,0.0,False,False,False,False,0.0,0,2115.4864398256364,"POLYGON ((-117.2524719 32.749654, -117.2518051 32.7492338, -117.2520943 32.7489053, -117.2522824 32.7490246, -117.2523466 32.749064, -117.252524 32.7491729, -117.2524903 32.7495181, -117.2524719 32.749654))",92109,9283,3319.0,43270.0,0.06999999999999999,0.9063444108761329,0.3685800604229607,0.2824773413897281,0.7009063444108762,0.1646525679758308,0.49395770392749244,0.45317220543806647,-0.1105740181268882,-0.05649546827794562,0.07009063444108762,0.03293051359516616,0.04939577039274925,0.8550625835128576
69707345,parking,yes,no,street_side,,OP-1-1,Other,0.0,0.0,0.0,False,False,False,False,0.0,0,2644.944409231478,"POLYGON ((-117.2565255 32.7304043, -117.2566701 32.730314, -117.2565908 32.7300637, -117.256389 32.7301025, -117.2563464 32.7300854, -117.2564201 32.7301939, -117.2564393 32.7302253, -117.2564691 32.7302827, -117.2565255 32.7304043))",92106,5212,6054.0,35366.0,0.04000000000000001,0.9607250755287009,0.3685800604229607,0.2824773413897281,0.5634441087613293,0.7009063444108762,0.2537764350453172,0.48036253776435045,-0.1105740181268882,-0.05649546827794562,0.056344410876132935,0.14018126888217525,0.025377643504531724,0.9152463799732761
69707346,parking,yes,no,street_side,,OP-1-1,Other,0.0,0.0,0.0,False,False,False,False,0.0,0,2685.384653698029,"POLYGON ((-117.2565066 32.7317032, -117.2565442 32.7318048, -117.2565898 32.7319198, -117.256596 32.7320106, -117.2565978 32.7320372, -117.2565308 32.7321522, -117.2564235 32.7322425, -117.2563108 32.7323666, -117.2561982 32.7324207, -117.2560936 32.7324591, -117.2562706 32.7322064, -117.2563537 32.7320597, -117.2564235 32.7319492, -117.256461 32.7318363, -117.2565066 32.7317032))",92106,5212,6054.0,35366.0,0.04000000000000001,0.9637462235649547,0.3685800604229607,0.2824773413897281,0.5634441087613293,0.7009063444108762,0.2537764350453172,0.4818731117824773,-0.1105740181268882,-0.05649546827794562,0.056344410876132935,0.14018126888217525,0.025377643504531724,0.9166098551989312
69707347,parking,yes,no,surface,,OP-1-1,Other,0.0,0.0,0.0,False,False,False,False,0.0,0,2723.489426965211,"POLYGON ((-117.2562008 32.7336797, -117.2563055 32.7335579, -117.2564154 32.7334789, -117.2565576 32.7334315, -117.2564315 32.733242, -117.2563935 32.7332608, -117.2561526 32.7333796, -117.2562035 32.7335624, -117.2562008 32.7336797))",92106,5212,6054.0,35366.0,0.04000000000000001,0.9667673716012085,0.3685800604229607,0.2824773413897281,0.5634441087613293,0.7009063444108762,0.2537764350453172,0.48338368580060426,-0.1105740181268882,-0.05649546827794562,0.056344410876132935,0.14018126888217525,0.025377643504531724,0.9179733304245864
